Gene	fit_value	Predicted_Proximal_APA	Loci	A_1_long_exp	A_1_short_exp	A_1_PDUI	A_2_long_exp	A_2_short_exp	A_2_PDUI	A_3_long_exp	A_3_short_exp	A_3_PDUI	B_1_long_exp	B_1_short_exp	B_1_PDUI	B_2_long_exp	B_2_short_exp	B_2_PDUI	B_3_long_exp	B_3_short_exp	B_3_PDUI	Group_A_Mean_PDUI	Group_B_Mean_PDUI	PDUI_Group_diff	P_val	adjusted.P_val	Pass_Filter
ENSMUST00000100304.10|ENSMUSG00000022629.17|chr15|-	575.5	90934342	chr15:90933276-90934543	113.12	0.00	1.00	94.00	0.00	1.00	122.55	0.00	1.00	76.36	0.00	1.00	110.51	0.00	1.00	79.16	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000218090.1|ENSMUSG00000003348.10|chr10|-	191.9	80691366	chr10:80691206-80691567	51.81	0.00	1.00	67.58	0.00	1.00	52.83	0.00	1.00	51.06	0.00	1.00	45.94	0.00	1.00	36.32	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000223210.1|ENSMUSG00000021275.16|chr12|+	427.6	110969070	chr12:110968869-110971461	82.87	0.00	1.00	77.91	0.00	1.00	97.11	0.00	1.00	62.09	0.00	1.00	79.22	0.00	1.00	73.19	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000138748.6|ENSMUSG00000005161.15|chr8|+	3785.0	84970637	chr8:84970436-84971125	9.22	178.43	0.05	5.34	151.26	0.03	8.77	168.35	0.05	9.39	141.01	0.06	3.97	182.05	0.02	10.42	146.60	0.07	0.0433333333333	0.05	-0.00666666666667	1.0	1.0	N
ENSMUST00000136266.1|ENSMUSG00000028222.2|chr4|+	458.6	15895683	chr4:15895441-15895777	69.57	0.00	1.00	34.97	0.00	1.00	38.93	0.00	1.00	31.38	0.00	1.00	43.78	0.00	1.00	28.05	2.42	0.92	1.0	0.973333333333	0.0266666666667	1.0	1.0	N
ENSMUST00000019994.13|ENSMUSG00000019848.14|chr10|+	52.2	45318240	chr10:45317699-45318452	NA	NA	NA	11.46	24.15	0.32	18.26	18.50	0.50	34.97	22.86	0.60	21.71	22.37	0.49	20.14	30.38	0.40	0.41	0.496666666667	-0.0866666666667	0.38576372291403926	1.0	N
ENSMUST00000213362.1|ENSMUSG00000032212.10|chr9|+	258.0	70559238	chr9:70559037-70561806	10.93	25.06	0.30	8.81	23.36	0.27	10.53	21.06	0.33	9.38	22.22	0.30	NA	NA	NA	10.04	27.55	0.27	0.3	0.285	0.015	1.0	1.0	N
ENSMUST00000042990.6|ENSMUSG00000036371.6|chr6|+	1291.1	67284293	chr6:67283903-67291318	30.94	520.04	0.06	30.04	752.21	0.04	32.36	584.06	0.05	30.75	844.93	0.04	30.78	477.05	0.06	32.99	546.04	0.06	0.05	0.0533333333333	-0.00333333333333	1.0	1.0	N
ENSMUST00000143385.1|ENSMUSG00000035649.17|chr4|+	343.7	44762051	chr4:44761850-44762228	39.17	29.41	0.57	44.59	5.59	0.89	38.02	11.34	0.77	50.59	5.47	0.90	46.00	36.71	0.56	39.38	17.26	0.70	0.743333333333	0.72	0.0233333333333	0.8401409876213444	1.0	N
ENSMUST00000167140.7|ENSMUSG00000071711.12|chr15|+	548.7	78413812	chr15:78413379-78414002	36.59	83.76	0.30	36.11	84.64	0.30	28.63	85.40	0.25	26.28	58.28	0.31	21.45	59.65	0.26	39.19	75.37	0.34	0.283333333333	0.303333333333	-0.02	0.7605480322311424	1.0	N
ENSMUST00000171639.1|ENSMUSG00000023106.15|chr5|+	13259.3	123908301	chr5:123908100-123908488	0.85	135.40	0.01	3.96	176.49	0.02	1.21	149.20	0.01	2.72	166.23	0.02	6.80	146.55	0.04	3.81	174.76	0.02	0.0133333333333	0.0266666666667	-0.0133333333333	0.6856665731761974	1.0	N
ENSMUST00000118952.7|ENSMUSG00000036779.12|chr8|+	426.0	88257300	chr8:88257099-88259722	63.79	0.00	1.00	40.49	0.00	1.00	68.93	0.00	1.00	51.31	0.00	1.00	58.42	0.00	1.00	75.80	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000197101.1|ENSMUSG00000029501.14|chr5|+	521.8	110238148	chr5:110237947-110238262	4.56	68.60	0.06	1.79	54.69	0.03	1.05	74.76	0.01	1.45	85.40	0.02	5.81	64.37	0.08	5.46	68.10	0.07	0.0333333333333	0.0566666666667	-0.0233333333333	0.6838338291157459	1.0	N
ENSMUST00000041725.13|ENSMUSG00000036620.14|chr11|+	187.6	50234961	chr11:50234606-50235103	131.66	9.74	0.93	117.62	0.00	1.00	114.15	4.57	0.96	129.76	2.23	0.98	96.26	0.00	1.00	151.25	0.00	1.00	0.963333333333	0.993333333333	-0.03	0.1219940490707513	1.0	N
ENSMUST00000204129.1|ENSMUSG00000030216.12|chr6|-	1660.9	136817031	chr6:136816951-136817237	121.12	0.00	1.00	133.66	0.00	1.00	166.17	0.00	1.00	119.94	0.00	1.00	85.27	0.00	1.00	99.55	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000035242.8|ENSMUSG00000034789.8|chr13|-	1980.4	55319978	chr13:55319885-55320214	142.00	0.00	1.00	178.34	0.00	1.00	195.11	0.00	1.00	159.58	0.00	1.00	209.71	0.00	1.00	193.46	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000109262.7|ENSMUSG00000039671.18|chr2|-	188.4	165828207	chr2:165827182-165828689	19.22	90.77	0.17	21.19	121.91	0.15	23.34	101.36	0.19	19.06	70.99	0.21	29.12	85.41	0.25	30.60	76.95	0.28	0.17	0.246666666667	-0.0766666666667	0.1393249142601634	1.0	N
ENSMUST00000018851.13|ENSMUSG00000018707.13|chr12|+	137994.7	110666764	chr12:110666563-110666945	1478.81	0.00	1.00	1317.12	0.00	1.00	1471.17	0.00	1.00	1156.94	0.00	1.00	1130.23	0.00	1.00	1011.98	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000127630.7|ENSMUSG00000027160.16|chr2|+	395.3	110044388	chr2:110044187-110045322	71.03	0.00	1.00	57.08	0.00	1.00	67.86	0.00	1.00	59.44	0.00	1.00	56.81	0.00	1.00	64.66	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000159102.1|ENSMUSG00000059866.13|chr5|-	702.8	34503535	chr5:34503286-34503827	24.68	131.63	0.16	17.53	114.72	0.13	31.97	99.85	0.24	24.09	108.05	0.18	20.25	107.01	0.16	21.80	89.88	0.20	0.176666666667	0.18	-0.00333333333333	1.0	1.0	N
ENSMUST00000110533.1|ENSMUSG00000039219.18|chr13|+	832.5	14164333	chr13:14164109-14165682	19.64	98.28	0.17	23.44	141.39	0.14	28.93	117.37	0.20	13.16	137.06	0.09	19.40	116.37	0.14	13.90	143.00	0.09	0.17	0.106666666667	0.0633333333333	0.121674889705949	1.0	N
ENSMUST00000113067.7|ENSMUSG00000031428.11|chrX|+	75179.8	136994714	chrX:136994513-136996378	581.18	0.00	1.00	634.86	0.00	1.00	503.79	0.00	1.00	479.68	0.00	1.00	562.77	0.00	1.00	609.08	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000217583.1|ENSMUSG00000045594.10|chr9|+	229.4	114474190	chr9:114473838-114474898	17.85	78.49	0.19	18.23	74.59	0.20	20.84	81.78	0.20	14.45	172.84	0.08	11.33	142.14	0.07	13.15	141.26	0.09	0.196666666667	0.08	0.116666666667	0.008168180325465896	0.19146810538	N
ENSMUST00000030858.13|ENSMUSG00000055401.14|chr4|-	237.4	148145899	chr4:148145787-148146185	50.69	0.00	1.00	62.64	0.00	1.00	74.44	0.00	1.00	75.17	0.00	1.00	58.83	0.00	1.00	86.53	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000032269.11|ENSMUSG00000030166.14|chr6|+	662.4	119922676	chr6:119922475-119922823	22.01	85.93	0.20	34.30	91.59	0.27	13.82	93.45	0.13	6.06	92.36	0.06	13.08	80.15	0.14	11.43	85.51	0.12	0.2	0.106666666667	0.0933333333333	0.05786632501174614	0.779262324197	N
ENSMUST00000176372.1|ENSMUSG00000069678.10|chr6|+	1344.3	83080768	chr6:83080550-83080854	73.95	0.00	1.00	51.59	0.00	1.00	60.64	0.00	1.00	54.12	0.00	1.00	48.76	0.00	1.00	63.52	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000208367.1|ENSMUSG00000003435.9|chr7|-	315.2	28325949	chr7:28324311-28326201	4.88	242.99	0.02	5.76	292.91	0.02	5.97	267.11	0.02	3.70	260.88	0.01	6.25	219.08	0.03	8.57	254.58	0.03	0.02	0.0233333333333	-0.00333333333333	0.7645716490659462	1.0	N
ENSMUST00000045986.7|ENSMUSG00000033735.9|chr6|-	1093.3	85133867	chr6:85133678-85134288	49.71	105.84	0.32	37.41	76.41	0.33	30.83	87.93	0.26	32.53	97.97	0.25	35.93	103.79	0.26	49.20	150.59	0.25	0.303333333333	0.253333333333	0.05	0.3516723296717307	1.0	N
ENSMUST00000124612.1|ENSMUSG00000033294.11|chr5|-	923.7	110651585	chr5:110651364-110651786	11.94	24.13	0.33	16.24	32.34	0.33	8.71	22.16	0.28	11.55	30.71	0.27	NA	NA	NA	NA	NA	NA	0.313333333333	0.27	0.0433333333333	0.8047187562440138	1.0	N
ENSMUST00000139054.1|ENSMUSG00000049470.13|chr11|+	5239.5	53372479	chr11:53372278-53375938	17.26	31.59	0.35	10.17	276.69	0.04	13.99	133.05	0.10	13.60	146.77	0.08	9.84	175.98	0.05	19.08	79.20	0.19	0.163333333333	0.106666666667	0.0566666666667	0.6913218651239713	1.0	N
ENSMUST00000056900.8|ENSMUSG00000035168.16|chr2|+	380.6	59820408	chr2:59820207-59821381	2.55	27.64	0.08	1.63	41.22	0.04	4.31	30.34	0.12	1.33	37.17	0.03	2.45	33.03	0.07	NA	NA	NA	0.08	0.05	0.03	0.6142069810165349	1.0	N
ENSMUST00000088786.10|ENSMUSG00000003161.15|chr5|+	1197.0	8067734	chr5:8067533-8069379	71.52	65.03	0.52	58.31	163.09	0.26	72.74	66.56	0.52	70.30	36.85	0.66	63.36	62.45	0.50	61.07	95.36	0.39	0.433333333333	0.516666666667	-0.0833333333333	0.12398418908377404	1.0	N
ENSMUST00000134485.1|ENSMUSG00000014355.10|chr2|-	250.8	128678083	chr2:128677127-128678284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.96	27.30	0.10	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000196526.4|ENSMUSG00000028184.12|chr3|-	100.2	148817092	chr3:148816093-148817928	33.57	39.87	0.46	43.76	32.00	0.58	31.27	28.83	0.52	31.97	40.19	0.44	27.63	34.08	0.45	25.88	39.90	0.39	0.52	0.426666666667	0.0933333333333	0.3022073925362867	1.0	N
ENSMUST00000139909.1|ENSMUSG00000025261.18|chrX|+	12813.4	151910061	chrX:151909860-151910389	56.90	85.99	0.40	48.20	86.23	0.36	58.11	92.39	0.39	52.87	87.09	0.38	58.34	94.05	0.38	52.33	79.17	0.40	0.383333333333	0.386666666667	-0.00333333333333	1.0	1.0	N
ENSMUST00000108216.7|ENSMUSG00000017421.18|chr11|+	2813.1	80393285	chr11:80393084-80394283	6.95	75.69	0.08	4.73	93.62	0.05	6.31	142.68	0.04	4.95	91.63	0.05	4.07	95.76	0.04	5.54	85.55	0.06	0.0566666666667	0.05	0.00666666666667	1.0	1.0	N
ENSMUST00000023830.15|ENSMUSG00000023068.16|chr10|+	1917.1	52436778	chr10:52436577-52440183	102.10	0.00	1.00	96.94	0.00	1.00	102.75	0.00	1.00	53.15	0.00	1.00	100.28	0.00	1.00	95.98	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000189347.6|ENSMUSG00000026104.14|chr1|+	264.3	52155187	chr1:52154986-52155331	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.58	6.54	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000156341.1|ENSMUSG00000026632.17|chr1|-	128.8	191046028	chr1:191045845-191046320	24.00	25.41	0.49	25.72	20.99	0.55	25.21	38.28	0.40	27.09	17.21	0.61	32.64	19.30	0.63	24.11	29.95	0.45	0.48	0.563333333333	-0.0833333333333	0.42810517326541364	1.0	N
ENSMUST00000170296.1|ENSMUSG00000003824.12|chr8|+	82.0	84887336	chr8:84887135-84887446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000174018.7|ENSMUSG00000056755.13|chr6|+	301.4	111495899	chr6:111495653-111497090	14.72	106.71	0.12	12.57	144.60	0.08	17.56	102.00	0.15	12.72	99.54	0.11	15.12	87.46	0.15	12.26	97.98	0.11	0.116666666667	0.123333333333	-0.00666666666667	0.8377466421833409	1.0	N
ENSMUST00000174410.1|ENSMUSG00000041354.16|chr17|+	525.7	33931927	chr17:33931726-33932029	0.00	34.27	0.00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000005292.14|ENSMUSG00000005161.15|chr8|+	18515.7	84974201	chr8:84974000-84974484	709.39	63.15	0.92	653.00	107.03	0.86	731.22	81.95	0.90	667.56	252.62	0.73	838.03	19.48	0.98	638.86	65.20	0.91	0.893333333333	0.873333333333	0.02	0.0934425248372911	1.0	N
ENSMUST00000111474.7|ENSMUSG00000029394.11|chr5|-	2223.9	124345801	chr5:124345605-124346154	82.47	85.47	0.49	59.91	36.50	0.62	63.38	36.99	0.63	51.62	37.35	0.58	72.95	43.38	0.63	54.32	117.24	0.32	0.58	0.51	0.07	0.16135026994203436	1.0	N
ENSMUST00000160511.4|ENSMUSG00000029823.16|chr6|+	770.5	38608354	chr6:38608153-38608939	88.20	0.00	1.00	115.67	0.00	1.00	95.33	0.00	1.00	136.72	0.00	1.00	137.17	0.00	1.00	121.02	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000044053.12|ENSMUSG00000090112.8|chr10|+	78.7	11214263	chr10:11213448-11217595	39.41	0.23	0.99	35.07	10.01	0.78	32.44	16.36	0.66	31.07	7.65	0.80	33.48	16.87	0.66	30.36	7.78	0.80	0.81	0.753333333333	0.0566666666667	0.5996059710520647	1.0	N
ENSMUST00000036187.8|ENSMUSG00000036327.18|chr2|-	86.5	26209592	chr2:26209283-26209793	55.20	0.00	1.00	36.52	8.64	0.81	43.35	0.00	1.00	45.46	0.00	1.00	51.25	0.00	1.00	42.45	0.00	1.00	0.936666666667	1.0	-0.0633333333333	0.49462365591397905	1.0	N
ENSMUST00000043151.11|ENSMUSG00000041020.14|chrX|+	4131.3	159497785	chrX:159497584-159498583	350.75	0.00	1.00	348.78	0.00	1.00	357.70	0.00	1.00	319.70	0.00	1.00	304.27	0.00	1.00	282.39	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000153687.7|ENSMUSG00000025261.18|chrX|+	1140.7	151871681	chrX:151871480-151873033	12.66	99.29	0.11	12.70	97.33	0.12	15.06	113.54	0.12	9.96	104.62	0.09	10.99	95.45	0.10	9.81	101.36	0.09	0.116666666667	0.0933333333333	0.0233333333333	0.6636185121110281	1.0	N
ENSMUST00000151088.1|ENSMUSG00000000056.7|chr11|+	1625.6	121245539	chr11:121245338-121245811	3.17	56.03	0.05	3.31	59.71	0.05	3.27	63.97	0.05	2.63	71.22	0.04	3.01	51.24	0.06	4.37	60.99	0.07	0.05	0.0566666666667	-0.00666666666667	1.0	1.0	N
ENSMUST00000019920.12|ENSMUSG00000019785.14|chr10|-	155.4	33513079	chr10:33512286-33513346	14.70	35.97	0.29	26.13	33.09	0.44	22.47	50.41	0.31	19.51	70.08	0.22	17.97	43.11	0.29	22.44	70.26	0.24	0.346666666667	0.25	0.0966666666667	0.18592381301798322	1.0	N
ENSMUST00000148904.7|ENSMUSG00000031922.12|chr9|-	374.3	13813319	chr9:13813056-13813520	NA	NA	NA	NA	NA	NA	2.20	28.67	0.07	1.67	31.47	0.05	NA	NA	NA	1.67	38.63	0.04	0.07	0.045	0.025	0.5869755244755239	1.0	N
ENSMUST00000080394.12|ENSMUSG00000040990.17|chrX|+	76.0	159973326	chrX:159973125-159974167	42.40	2.96	0.93	45.61	0.00	1.00	57.73	0.00	1.00	43.08	4.62	0.90	42.47	0.00	1.00	36.78	4.81	0.88	0.976666666667	0.926666666667	0.05	0.10158455776433303	1.0	N
ENSMUST00000149753.7|ENSMUSG00000040785.19|chr16|+	215886.9	94403515	chr16:94403314-94403807	54.32	379.07	0.13	63.89	236.03	0.21	18.65	397.16	0.04	56.94	325.06	0.15	40.51	397.52	0.09	49.69	303.23	0.14	0.126666666667	0.126666666667	-2.77555756156e-17	0.7428499048397604	1.0	N
ENSMUST00000106157.7|ENSMUSG00000030967.15|chr7|+	351.0	132983934	chr7:132983733-132986391	60.52	91.81	0.40	61.12	117.85	0.34	58.01	154.35	0.27	41.94	65.31	0.39	34.31	71.72	0.32	32.45	117.54	0.22	0.336666666667	0.31	0.0266666666667	0.704056422206412	1.0	N
ENSMUST00000151766.1|ENSMUSG00000018565.17|chr11|-	5866.8	69968339	chr11:69968232-69968540	248.98	0.00	1.00	310.13	0.00	1.00	322.26	0.00	1.00	252.41	0.00	1.00	252.81	0.00	1.00	226.31	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000116574.9|ENSMUSG00000006476.19|chr2|+	338977.4	25061873	chr2:25061672-25062880	2296.35	0.00	1.00	1967.57	0.00	1.00	1773.63	0.00	1.00	2419.97	0.00	1.00	1738.50	0.00	1.00	1416.42	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000124292.7|ENSMUSG00000019055.15|chr4|-	60.3	147925447	chr4:147922463-147925648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000041852.7|ENSMUSG00000041671.13|chr6|+	46.5	142363143	chr6:142362869-142363257	44.16	14.22	0.76	34.61	11.35	0.75	36.07	22.51	0.62	43.54	10.46	0.81	41.32	14.76	0.74	37.03	12.90	0.74	0.71	0.763333333333	-0.0533333333333	0.5119674955134484	1.0	N
ENSMUST00000061322.9|ENSMUSG00000048416.15|chr3|+	143.8	67399919	chr3:67399702-67400003	48.93	6.85	0.88	56.42	11.32	0.83	34.86	0.00	1.00	84.32	0.00	1.00	42.25	0.00	1.00	32.68	16.15	0.67	0.903333333333	0.89	0.0133333333333	0.753264282807637	1.0	N
ENSMUST00000176563.1|ENSMUSG00000034252.14|chr9|+	266.2	80143895	chr9:80143650-80144005	118.95	83.15	0.59	101.83	80.63	0.56	153.70	75.68	0.67	99.11	91.42	0.52	88.01	68.00	0.56	101.19	79.85	0.56	0.606666666667	0.546666666667	0.06	0.25022019851761623	1.0	N
ENSMUST00000135904.1|ENSMUSG00000056486.18|chr2|-	1560.8	73679702	chr2:73679622-73679903	78.91	0.00	1.00	92.96	0.00	1.00	123.68	0.00	1.00	109.32	0.00	1.00	86.40	0.00	1.00	140.64	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000155746.7|ENSMUSG00000001552.14|chr11|-	90.6	100383410	chr11:100383315-100383654	31.01	17.29	0.64	39.48	11.47	0.77	37.86	2.32	0.94	54.66	18.13	0.75	29.45	27.65	0.52	25.00	14.61	0.63	0.783333333333	0.633333333333	0.15	0.1338465721396901	1.0	N
ENSMUST00000133049.8|ENSMUSG00000028601.18|chr4|+	384.2	108179108	chr4:108178907-108179307	79.37	0.00	1.00	48.85	0.00	1.00	83.87	0.00	1.00	40.87	0.00	1.00	58.36	0.00	1.00	32.77	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000110181.7|ENSMUSG00000027333.18|chr2|+	600.6	131525233	chr2:131524743-131525922	8.14	73.03	0.10	14.97	54.67	0.21	13.65	104.82	0.12	21.36	213.90	0.09	15.75	101.23	0.13	21.61	110.39	0.16	0.143333333333	0.126666666667	0.0166666666667	0.6944413828284298	1.0	N
ENSMUST00000097934.9|ENSMUSG00000061887.14|chr4|+	741.1	107048225	chr4:107048024-107048498	129.75	0.00	1.00	102.64	0.00	1.00	72.98	0.00	1.00	99.02	0.00	1.00	69.97	0.00	1.00	115.64	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000211886.1|ENSMUSG00000031808.7|chr8|+	293.0	71580876	chr8:71580610-71582449	8.46	60.29	0.12	9.71	60.51	0.14	11.27	63.06	0.15	8.88	57.26	0.13	9.53	68.38	0.12	8.56	64.99	0.12	0.136666666667	0.123333333333	0.0133333333333	0.8015745496852226	1.0	N
ENSMUST00000218371.1|ENSMUSG00000025373.14|chr10|+	1017.1	128439009	chr10:128438808-128439426	160.14	0.00	1.00	183.32	0.00	1.00	170.00	0.00	1.00	148.22	0.00	1.00	134.09	0.00	1.00	149.56	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000144758.1|ENSMUSG00000026918.16|chr2|-	220.1	27463991	chr2:27463892-27464193	58.20	1.31	0.98	74.49	0.00	1.00	83.02	0.00	1.00	73.69	4.49	0.94	92.69	0.00	1.00	92.48	6.01	0.94	0.993333333333	0.96	0.0333333333333	0.25483490566037753	1.0	N
ENSMUST00000228961.1|ENSMUSG00000022577.17|chr15|-	1109.0	75566819	chr15:75566432-75567046	57.70	280.62	0.17	70.08	111.15	0.39	74.48	179.60	0.29	39.83	111.12	0.26	33.42	191.77	0.15	27.78	113.34	0.20	0.283333333333	0.203333333333	0.08	0.12928347834373347	1.0	N
ENSMUST00000026937.11|ENSMUSG00000025825.12|chr5|+	20328.8	113778034	chr5:113777833-113778288	488.42	0.00	1.00	388.84	0.00	1.00	382.88	0.00	1.00	351.12	0.00	1.00	370.09	0.00	1.00	371.99	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000161401.1|ENSMUSG00000063694.5|chr6|-	39673.2	50564844	chr6:50562563-50565385	176.44	388.04	0.31	98.01	671.28	0.13	239.76	360.95	0.40	168.78	390.03	0.30	177.23	283.03	0.39	169.37	527.58	0.24	0.28	0.31	-0.03	0.20133453250156563	1.0	N
ENSMUST00000057495.9|ENSMUSG00000035762.11|chr13|+	611.8	84295710	chr13:84294603-84296141	43.58	26.38	0.62	45.95	28.28	0.62	48.28	25.30	0.66	45.67	24.76	0.65	65.72	11.58	0.85	59.56	11.50	0.84	0.633333333333	0.78	-0.146666666667	0.063351106089539	0.803558766715	N
ENSMUST00000070579.6|ENSMUSG00000056486.18|chr2|-	342867.8	73612975	chr2:73612888-73613196	2349.48	0.00	1.00	1785.39	0.00	1.00	1505.92	0.00	1.00	2014.61	0.00	1.00	2176.96	0.00	1.00	2063.45	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000038287.6|ENSMUSG00000034765.6|chr19|+	1128.5	53541117	chr19:53540916-53542431	70.67	0.00	1.00	119.59	0.00	1.00	92.48	0.00	1.00	71.51	0.00	1.00	98.33	0.00	1.00	73.27	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000140309.1|ENSMUSG00000031864.16|chr8|+	1346.8	68814458	chr8:68814257-68814612	2.13	53.40	0.04	4.35	58.74	0.07	1.14	48.13	0.02	2.52	43.65	0.05	2.75	58.39	0.04	0.44	39.80	0.01	0.0433333333333	0.0333333333333	0.01	1.0	1.0	N
ENSMUST00000228253.1|ENSMUSG00000033565.18|chr15|-	1382.7	77084005	chr15:77083814-77084206	116.89	0.00	1.00	97.31	0.00	1.00	110.96	0.00	1.00	96.63	0.00	1.00	97.66	0.00	1.00	106.29	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000184808.1|ENSMUSG00000010097.15|chr19|+	713.4	8770775	chr19:8770574-8770862	225.55	0.00	1.00	262.11	0.00	1.00	234.87	0.00	1.00	221.36	0.00	1.00	247.45	0.00	1.00	214.85	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000114101.7|ENSMUSG00000025964.15|chr1|+	505.6	63568050	chr1:63567849-63569094	15.83	53.67	0.23	17.61	23.98	0.42	16.52	33.90	0.33	14.64	44.01	0.25	17.08	78.24	0.18	14.21	55.59	0.20	0.326666666667	0.21	0.116666666667	0.21528538112273393	1.0	N
ENSMUST00000182474.7|ENSMUSG00000069601.14|chr10|+	6934.4	69994573	chr10:69994372-69995240	1.54	97.54	0.02	1.37	103.41	0.01	1.00	146.83	0.01	1.52	100.27	0.01	0.74	134.44	0.01	1.21	117.17	0.01	0.0133333333333	0.01	0.00333333333333	1.0	1.0	N
ENSMUST00000237103.1|ENSMUSG00000024045.6|chr17|-	383.9	32304711	chr17:32303674-32305706	52.31	33.40	0.61	62.47	23.00	0.73	56.88	7.22	0.89	56.24	15.60	0.78	50.85	42.74	0.54	50.78	20.21	0.72	0.743333333333	0.68	0.0633333333333	0.48540288577044033	1.0	N
ENSMUST00000128005.1|ENSMUSG00000000561.14|chr3|+	239.1	105967425	chr3:105967163-105967527	69.84	1.98	0.97	110.49	0.00	1.00	61.10	9.03	0.87	90.22	0.00	1.00	60.15	0.00	1.00	70.99	0.00	1.00	0.946666666667	1.0	-0.0533333333333	0.2482630272952852	1.0	N
ENSMUST00000074945.7|ENSMUSG00000055013.16|chr1|+	461.5	89889982	chr1:89888691-89895277	86.54	9.09	0.90	64.46	19.89	0.76	76.48	12.72	0.86	60.98	8.27	0.88	64.72	39.32	0.62	58.55	18.62	0.76	0.84	0.753333333333	0.0866666666667	0.06131164853547845	0.790034141196	N
ENSMUST00000117506.8|ENSMUSG00000059890.16|chr9|-	115.5	44925774	chr9:44923127-44925975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
ENSMUST00000124872.1|ENSMUSG00000029076.14|chr4|+	7463.7	156000871	chr4:156000670-156000985	12.08	127.41	0.09	16.09	109.07	0.13	11.85	112.08	0.10	7.07	116.06	0.06	8.19	123.80	0.06	19.31	89.80	0.18	0.106666666667	0.1	0.00666666666667	0.8333531527421857	1.0	N
ENSMUST00000107922.2|ENSMUSG00000028461.12|chr4|+	2739.0	43495710	chr4:43495509-43495921	113.19	0.00	1.00	84.78	0.00	1.00	118.89	0.00	1.00	110.24	0.00	1.00	104.01	0.00	1.00	106.97	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
ENSMUST00000017637.12|ENSMUSG00000017493.12|chr11|+	985.1	99051683	chr11:99051445-99054392	62.83	39.20	0.62	77.17	157.82	0.33	76.02	20.88	0.78	57.79	72.94	0.44	64.83	32.18	0.67	71.54	55.53	0.56	0.576666666667	0.556666666667	0.02	0.4579052209584568	1.0	N
ENSMUST00000187713.6|ENSMUSG00000064302.13|chr1|+	52.8	118607132	chr1:118606908-118607582	50.42	0.95	0.98	29.82	35.00	0.46	39.61	30.77	0.56	34.46	26.77	0.56	38.37	0.00	1.00	34.90	8.65	0.80	0.666666666667	0.786666666667	-0.12	0.20856754533223915	1.0	N
ENSMUST00000095044.9|ENSMUSG00000026811.18|chr2|+	6044.7	32619541	chr2:32619340-32620806	231.54	0.00	1.00	146.31	0.00	1.00	156.67	0.00	1.00	164.51	0.00	1.00	154.93	0.00	1.00	125.69	0.00	1.00	1.0	1.0	0.0	1.0	1.0	N
